id,original_language,original_title,Popularity,release_date,title,AVG Rating,Vote Count,Genre,release_year
12444,en,Harry Potter and the Deathly Hallows: Part 1,33.533,2010-11-19,Harry Potter and the Deathly Hallows: Part 1,7.7,10788,"['Adventure', 'Fantasy', 'Family']",2010
10191,en,How to Train Your Dragon,28.734,2010-03-26,How to Train Your Dragon,7.7,7610,"['Fantasy', 'Adventure', 'Animation', 'Family']",2010
10138,en,Iron Man 2,28.515,2010-05-07,Iron Man 2,6.8,12368,"['Adventure', 'Action', 'Science Fiction']",2010
862,en,Toy Story,28.005,1995-11-22,Toy Story,7.9,10174,"['Animation', 'Comedy', 'Family']",1995
27205,en,Inception,27.92,2010-07-16,Inception,8.3,22186,"['Action', 'Science Fiction', 'Adventure']",2010
32657,en,Percy Jackson & the Olympians: The Lightning Thief,26.691,2010-02-11,Percy Jackson & the Olympians: The Lightning Thief,6.1,4229,"['Adventure', 'Fantasy', 'Family']",2010
19995,en,Avatar,26.526,2009-12-18,Avatar,7.4,18676,"['Action', 'Adventure', 'Fantasy', 'Science Fiction']",2009
10193,en,Toy Story 3,24.445,2010-06-17,Toy Story 3,7.7,8340,"['Animation', 'Family', 'Comedy']",2010
20352,en,Despicable Me,23.673,2010-07-09,Despicable Me,7.2,10057,"['Animation', 'Family', 'Comedy']",2010
38055,en,Megamind,22.855,2010-11-04,Megamind,6.8,3635,"['Animation', 'Action', 'Comedy', 'Family', 'Science Fiction']",2010
863,en,Toy Story 2,22.698,1999-11-24,Toy Story 2,7.5,7553,"['Animation', 'Comedy', 'Family']",1999
12155,en,Alice in Wonderland,22.02,2010-03-05,Alice in Wonderland,6.6,8713,"['Family', 'Fantasy', 'Adventure']",2010
27578,en,The Expendables,21.517,2010-08-03,The Expendables,6.1,4647,"['Thriller', 'Adventure', 'Action']",2010
38757,en,Tangled,21.511,2010-11-24,Tangled,7.5,6407,"['Animation', 'Family']",2010
41439,en,Saw 3D,20.37,2010-10-28,Saw: The Final Chapter,6.0,1488,"['Horror', 'Crime']",2010
24021,en,The Twilight Saga: Eclipse,20.34,2010-06-23,The Twilight Saga: Eclipse,6.0,4909,"['Adventure', 'Fantasy', 'Drama', 'Romance']",2010
20504,en,The Book of Eli,18.985,2010-01-11,The Book of Eli,6.7,3495,"['Action', 'Thriller', 'Science Fiction']",2010
52371,nl,LelleBelle,18.586,2010-10-09,LelleBelle,4.5,36,"['Other', 'Romance']",2010
